id,question,answer,qa_id,paper_id,specialty,year
miriad_1,What are the common clinical features and diagnostic criteria of relapsing polychondritis?,"The common clinical features of relapsing polychondritis include auricular chondritis (inflammation of the ear cartilage), arthropathy (joint inflammation), nasal chondritis, chondritis of the respiratory system, and eye involvement such as episcleritis. Diagnostic criteria for relapsing polychondritis include the modified criteria by Damiani and Levine, which may include symptoms such as auricular chondritis, nasal chondritis, ocular inflammation, respiratory tract chondritis, and audiovestibular damage. Raised ESR (erythrocyte sedimentation rate) is a common laboratory finding in relapsing polychondritis.",38_77498699_0_1,77498699,Rheumatology,2006.0
miriad_2,What are the treatment options for relapsing polychondritis?,"The primary treatment for relapsing polychondritis consists of corticosteroids, such as prednisolone, which reduce the inflammatory response and can lead to recovery of hearing in patients with early sensorineural hearing involvement. Immunosuppressive drugs and dapsone may also be used in the treatment of relapsing polychondritis. Supportive therapy is also important in managing the symptoms of the disease.",38_77498699_0_2,77498699,Rheumatology,2006.0
miriad_3,What are the potential complications associated with relapsing polychondritis?,"Lethal complications of relapsing polychondritis are often associated with airway or cardiovascular involvement. This can include complications such as aortic incompetence, mitral regurgitation, pericarditis, cardiac ischemia, aneurysms of large arteries, vasculitis of the central nervous system, phlebitis, and Raynaud's phenomenon. Neurological and renal system involvement can also occur, although it is rare. Regular follow-up and management are important to monitor and prevent potential complications in patients with relapsing polychondritis.",38_77498699_0_3,77498699,Rheumatology,2006.0
miriad_4,What are some of the psychosocial aspects of living with Birt-Hogg-Dubé (BHD) syndrome?,"Living with BHD can have various non-medical ramifications, including economic and physical insecurity, interruptions in familial communication patterns and relationships, and a sense of medical, economic, and familial insecurity.",38_18980821_0_1,18980821,Psychiatry,2012.0
miriad_5,How do patients with significant pulmonary manifestations of BHD seek appropriate medical care?,"Patients with significant pulmonary manifestations of BHD often seek a pulmonary team that is confident in managing BHD lungs. However, there are very few pulmonologists/thoracic surgeons in the United States with clinical experience in managing BHD lungs. The LAM Foundation supports clinics that may be a beneficial clinical resource for these patients.",38_18980821_0_2,18980821,Pulmonology & Respiratory Medicine,2012.0
miriad_6,What is the recommended surveillance strategy for kidney and lung monitoring in individuals with BHD?,"The current recommendation for gene-positive or at-risk adults with BHD is MRI imaging of the abdomen with/without contrast every 2-3 years for renal surveillance. CT scans with contrast are also acceptable, but MRI imaging is preferred to reduce the lifetime risk associated with radiation exposure. Ultrasound is not a reliable method for detecting or following renal masses associated with BHD. The age at which children should undergo genetic testing and initiate kidney surveillance is around 18-20 years, as kidney tumors have not been identified in minors. Optimum surveillance strategies for pulmonary cysts have not yet been determined.",38_18980821_0_3,18980821,Nephrology,2012.0
miriad_7,What are some concerns patients with Birt-Hogg-Dubé (BHD) syndrome may have regarding health insurance and employment?,"Patients with BHD syndrome may be concerned about whether health insurance will cover the cost of screening and treatments, such as kidney tumor surgery or emergency room visits for recurrent pneumothorax. They may also worry about the out-of-pocket expenses associated with these medical procedures. Additionally, patients who do not have insurance may not have the option of surveillance, which can increase their fear of dying from kidney cancer. Some patients may also be concerned about losing health insurance benefits if they advance their career or leave their current job, which can impact their decision-making regarding employment.",38_18980821_1_1,18980821,Public Health & Epidemiology,2012.0
miriad_8,"How do state and federal laws protect individuals with genetic conditions, such as BHD syndrome, from discrimination by health insurers and employers?","In the United States, forty-five states have enacted state laws protecting their citizens from genetic discrimination by health insurers. However, the level of protection provided by these state laws may vary. The United States G.I.N.A. Act of 2008 also contains language preventing health insurers from engaging in genetic discrimination. This means that individuals with genetic conditions, like BHD syndrome, cannot be treated unfairly by health insurers due to differences in their DNA that increase their chances of getting a certain disease. GINA also includes provisions that prevent employers from using a person's genetic information in decisions about hiring, firing, job assignments, or promotions.",38_18980821_1_2,18980821,Medical Research & Methodology,2012.0
miriad_9,How can patients with BHD syndrome address concerns about family communication and motivation for genetic testing and surveillance?,"Patients with BHD syndrome may have concerns about communicating genetic risk to their family members, especially if their family has different communication patterns or cultural norms. Some patients may find it difficult to share information about an inherited, potentially lethal disorder with their family members. It is observed that families in which affected members have experienced significant morbidity are more likely to pursue genetic testing and surveillance. However, this phenomenon has not been systematically studied in the BHD population. Patients may also worry that their family members are not motivated to pursue genetic testing and surveillance. In these situations, patients can share medical papers and handouts with their family members and inform them about the process to obtain genetic testing. Additionally, patients can encourage their family members to attend scientific meetings and connect with other BHD families through resources like the Myrovlytis website. Cancer Genetic Counselors (CGC) and/or Advanced Practice Nurses in Genetics (APNG) can also provide support and guidance to patients and their families in coping with the psychosocial ramifications of BHD.",38_18980821_1_3,18980821,Medical Research & Methodology,2012.0
miriad_10,What is the mechanism of action of trastuzumab in treating HER2-positive B-ALL?,"Trastuzumab works by blocking the proliferation of cells, inducing antibody-dependent cell cytotoxicity, and inhibiting DNA repair. These mechanisms contribute to its efficacy in treating HER2-positive B-ALL.",38_18981838_0_1,18981838,Pharmacy & Pharmacology,2012.0
