id,question,answer,recommendation,generator,plausible,answered
realmedqa_1,"What are the dietary needs for newborns, babies, children, and adolescents?","Do not offer nutritional supplements specifically to prevent a pressure ulcer in neonates, infants, children and young people with adequate nutritional status for their developmental stage and clinical condition.","Do not offer nutritional supplements specifically to prevent a pressure ulcer in neonates, infants, children and young people with adequate nutritional status for their developmental stage and clinical condition.",LLM,Not at all,Not at all
realmedqa_2,Should I give my patients with heart failure morphine?,Do not routinely offer opiates to people with acute heart failure.,Do not routinely offer opiates to people with acute heart failure.,LLM,Not at all,Not at all
realmedqa_3,Is an ultrasound of the achilles tendon required for a diagnosis of familial hypercholesterolaemia?,"Coronary heart disease risk estimation tools, such as QRISK2 and those based on the Framingham algorithm, should not be used because people with FH are already at a high risk of premature coronary heart disease. [2008, amended 2017]","Coronary heart disease risk estimation tools, such as QRISK2 and those based on the Framingham algorithm, should not be used because people with FH are already at a high risk of premature coronary heart disease. [2008, amended 2017]",LLM,Completely,Not at all
realmedqa_4,How can healthcare providers guarantee that children and adolescents with spasticity are referred as soon as possible after their diagnosis?,"Following diagnosis, ensure that all children and young people with spasticity are referred without delay to an appropriate member of the network team.","Following diagnosis, ensure that all children and young people with spasticity are referred without delay to an appropriate member of the network team.",LLM,Not at all,Not at all
realmedqa_5,Can very potent corticosteroids be used in children with atopic eczema without specialist dermatological advice?,It is recommended that topical corticosteroids for atopic eczema should be prescribed for application only once or twice daily.,It is recommended that topical corticosteroids for atopic eczema should be prescribed for application only once or twice daily.,LLM,Completely,Not at all
realmedqa_6,What is the timed blood sample regimen for serum tryptase?,"After a suspected anaphylactic reaction in adults or young people aged 16 years or older, take timed blood samples for mast cell tryptase testing as follows:a sample as soon as possible after emergency treatment has starteda second sample ideally within 1 to 2 hours (but no later than 4 hours) from the onset of symptoms.","After a suspected anaphylactic reaction in adults or young people aged 16 years or older, take timed blood samples for mast cell tryptase testing as follows:a sample as soon as possible after emergency treatment has starteda second sample ideally within 1 to 2 hours (but no later than 4 hours) from the onset of symptoms.",LLM,Completely,Completely
realmedqa_7,How might care coordination and psychosis treatment be delivered in collaboration with drug abuse services?,"Consider seeking specialist advice and initiate joint working arrangements with specialist substance misuse services if the person's substance misuse:is difficult to control and/orleads to significant impairment of functioning, family breakdown or significant social disruption such as homelessness.","Consider seeking specialist advice and initiate joint working arrangements with specialist substance misuse services if the person's substance misuse:is difficult to control and/orleads to significant impairment of functioning, family breakdown or significant social disruption such as homelessness.",LLM,Not at all,Not at all
realmedqa_8,What are some of the most typical difficulties doctors experience while establishing a therapeutic connection with patients suffering from borderline personality disorder?,"When working with people with borderline personality disorder: explore treatment options in an atmosphere of hope and optimism, explaining that recovery is possible and attainable build a trusting relationship, work in an open, engaging and non-judgemental manner, and be consistent and reliablebear in mind when providing services that many people will have experienced rejection, abuse and trauma, and encountered stigma often associated with self-harm and borderline personality disorder.","When working with people with borderline personality disorder: explore treatment options in an atmosphere of hope and optimism, explaining that recovery is possible and attainable build a trusting relationship, work in an open, engaging and non-judgemental manner, and be consistent and reliablebear in mind when providing services that many people will have experienced rejection, abuse and trauma, and encountered stigma often associated with self-harm and borderline personality disorder.",LLM,Not at all,Partially
realmedqa_9,- What type of dietary advice should be given when offering diets that include soya protein to children aged 6 months or over?,"Diets based on unmodified proteins of other species' milk (for example, goat's milk, sheep's milk) or partially hydrolysed formulas should not be used in children with atopic eczema for the management of suspected cow's milk allergy. Diets including soya protein can be offered to children aged 6 months or over with specialist dietary advice.","Diets based on unmodified proteins of other species' milk (for example, goat's milk, sheep's milk) or partially hydrolysed formulas should not be used in children with atopic eczema for the management of suspected cow's milk allergy. Diets including soya protein can be offered to children aged 6 months or over with specialist dietary advice.",LLM,Completely,Completely
realmedqa_10,4) Are there any alternative treatments that could be used?,Do not use very potent corticosteroids in children and young people.,Do not use very potent corticosteroids in children and young people.,LLM,Not at all,Not at all
realmedqa_11,What are the benefits and drawbacks of each form of LARC?,Provision of information and informed choice,Provision of information and informed choice,LLM,Completely,Not at all
realmedqa_12,How mant menstrual cycles are required to diagnose menstrual-related migraine?,"Consider using a headache diary:to record the frequency, duration and severity of headachesto monitor the effectiveness of headache interventionsas a basis for discussion with the person about their headache disorder and its impact. [2012]","Consider using a headache diary:to record the frequency, duration and severity of headachesto monitor the effectiveness of headache interventionsas a basis for discussion with the person about their headache disorder and its impact. [2012]",LLM,Partially,Not at all
realmedqa_13,What is the logic for aiming for a 4-week pause between rounds of psoriasis therapy with high or extremely potent corticosteroids?,Aim for a break of 4 weeks between courses of treatment with potent or very potent corticosteroids. Consider topical treatments that are not steroid based (such as vitamin D or vitamin D analogues or coal tar) as needed to maintain psoriasis disease control during this period.,Aim for a break of 4 weeks between courses of treatment with potent or very potent corticosteroids. Consider topical treatments that are not steroid based (such as vitamin D or vitamin D analogues or coal tar) as needed to maintain psoriasis disease control during this period.,LLM,Completely,Not at all
realmedqa_14,5) Have you experienced any other medical conditions or illnesses? ( medical history to rule out other conditions that may be causing your symptoms. ),Healthcare professionals should discourage the use of aloe vera in the treatment of IBS. [2008],Healthcare professionals should discourage the use of aloe vera in the treatment of IBS. [2008],LLM,Not at all,Not at all
realmedqa_15,"5) Have any past treatments or interventions for bedwetting been tried, and if so, what were the results?","Explore the child or young person's views about their bedwetting, including:what they think the main problem iswhether they think the problem needs treatment.","Explore the child or young person's views about their bedwetting, including:what they think the main problem iswhether they think the problem needs treatment.",LLM,Not at all,Not at all
